,Plant Name,Other Names,Plant Type,Plant Size,Growing Zones,Rainfall,Summer Rainfall,Sun,Moisture,Soil,Coldest Month,Hottest Month,Cold Tolerance,Humidity,Elevation,Uses,Flower Color,Ease of Care,Sightings,Image,Calscape url
163,Typha latifolia,"Common Names: Cattail (common), Common Cattail",Perennial herb,1 - 5 ft tall,,"5.1"" - 50.0""","0.16"" - 2.52""",Full Sun,Moderate - High,Tolerates a variety of soils as long as it is kept constantly wet," 22.0"" - 58.6"""," 40.0"" - 87.2""",,"0.07"" - 37.90""","-36"" - 12592""",Bogs and Ponds,Brown,Moderately Easy,26117,https://inaturalist-open-data.s3.amazonaws.com/photos/4280840/small.jpeg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Typha-latifolia-(Broadleaf-Cattail)?srchcr=sc61b191ea5b86a"
164,Schoenoplectus americanus,"Botanical Names: Scirpus americanusCommon Names: Chairmaker's Bulrush, Olney's Three-square Bulrush",Grasses,3.5 - 7 ft tall,,"1.9"" - 67.6""","0.15"" - 2.64""",Full Sun,Moderate - High,Tolerant of a variety of soils as long as sufficient moisture is available," 25.7"" - 61.1"""," 55.4"" - 90.6""",,"0.37"" - 48.80""","-271"" - 7679""",Bogs and Ponds,"Orange,  Purple,  Red,  Brown",,850,https://inaturalist-open-data.s3.amazonaws.com/photos/21098704/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Schoenoplectus-americanus-(Olney\'s-Bulrush)?srchcr=sc61b191ea5b86a"
165,Plantago erecta,"Common Names: California Plantain, English Plantain, Foothill Plantain",Annual Herb,,,"3.3"" - 77.7""","0.13"" - 2.25""","Full Sun,  Part Shade",Very Low,Adaptable," 24.6"" - 59.4"""," 45.5"" - 88.3""",,"0.15"" - 39.35""","-3271"" - 11310""",Butterfly Gardens,,,2248,https://inaturalist-open-data.s3.amazonaws.com/photos/5272/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Plantago-erecta-(Dotseed-Plantain)?srchcr=sc61b191ea5b86a"
166,Grindelia camporum,"Botanical Names: Grindelia camporum var. camporumCommon Names: Common Gumplant, Great Valley Gumplant",Perennial herb,2 - 6.6 ft tall3 ft wide,"['USDA Zone 7a: to -17.7 °C (0 °F)', 'USDA Zone 7b: to -14.9 °C (5 °F)', 'USDA Zone 8a: to -12.2 °C (10 °F)', 'USDA Zone 8b: to -9.4 °C (15 °F)', 'USDA Zone 9a: to -6.6 °C (20 °F)', 'USDA Zone 9b: to -3.8 °C (25 °F)', 'USDA Zone 10a: to -1.1 °C (30 °F)', 'USDA Zone 10b: to 1.7 °C (35 °F)']","5.4"" - 72.6""","0.14"" - 2.39""",Full Sun,Very Low,Adaptable. Tolerates Saline Soil. Soil PH: 6.0 - 8.0," 25.5"" - 56.4"""," 52.2"" - 78.9""",Tolerates cold to 15° F,"0.30"" - 30.02""","-3"" - 8045""","Deer Resistant, Butterfly Gardens, Butterfly Gardens",Yellow,Very Easy,1538,https://inaturalist-open-data.s3.amazonaws.com/photos/11663/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Grindelia-camporum-(Great-Valley-Gumweed)?srchcr=sc61b191ea5b86a"
167,Lobelia dunnii var. serrata,,Perennial herb,2.8 ft tall,,"10.7"" - 39.8""","0.15"" - 1.72""","Full Sun,  Part Shade,  Full Shade",Moderate - High,"Prefers moist, well draining soil"," 39.0"" - 56.2"""," 65.0"" - 80.5""",,"1.02"" - 28.27""","13"" - 6112""","Deer Resistant, Hummingbird Gardens, Butterfly Gardens",Lavender,,127,https://inaturalist-open-data.s3.amazonaws.com/photos/214502/small.jpeg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Lobelia-dunnii-var.-serrata-(Dunn\'s-Lobelia)?srchcr=sc61b191ea5b86a"
168,Venegasia carpesioides,,Perennial herb,5 ft tall,,"10.7"" - 40.1""","0.14"" - 1.65""","Full Shade, Full Sun, Part Shade",,Tolerant of a variety of garden soils as long as sufficient moisture is available," 42.0"" - 56.0"""," 62.9"" - 79.4""",,"0.88"" - 26.24""","2"" - 4182""","Bank Stabilization, Bee Gardens, Bird Gardens, Deer Resistant",Yellow,Moderately Easy,1517,https://inaturalist-open-data.s3.amazonaws.com/photos/780176/small.JPG,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Venegasia-carpesioides-(Canyon-Sunflower)?srchcr=sc61b191ea5b86a"
169,Mimulus aurantiacus var. pubescens,"Botanical Names: Mimulus longiflorus,Diplacus longiflorus,Diplacus aurantiacus var. pubescensCommon Names: Southern Bush Monkeyflower",Shrub,0.33 - 3 ft tall,,"3.6"" - 71.8""","0.14"" - 2.71""",Part Shade,Low,Tolerates a variety of soils as long as adequate drainage is provided," 23.8"" - 57.2"""," 51.0"" - 83.0""",,"0.65"" - 34.52""","-62"" - 9395""","Deer Resistant, Hummingbird Gardens, Bird Gardens, Butterfly Gardens, Bee Gardens","Yellow,  Orange",Moderately Easy,11845,https://inaturalist-open-data.s3.amazonaws.com/photos/3808493/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Mimulus-aurantiacus-var.-pubescens-(Sticky-Monkeyflower)?srchcr=sc61b191ea5b86a"
170,Salicornia pacifica,"Common Names: Salt Marsh Pickleweed, Virginia Glasswort",Perennial herb,0.33 - 2.3 ft tall,,"8.7"" - 32.7""","0.15"" - 0.40""",Full Sun,Moderate - High,"Usually found in saturated, sandy soil"," 46.8"" - 56.7"""," 61.0"" - 73.1""",,"0.72"" - 18.14""","-7"" - 747""",,Red,,2976,https://inaturalist-open-data.s3.amazonaws.com/photos/158802/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Salicornia-pacifica-(Pickleweed)?srchcr=sc61b191ea5b86a"
171,Poa secunda,"Common Names: Alkali Bluegrass, Big Bluegrass, Canby's Bluegrass, Sandberg Bluegrass",Grasses,1.4 - 3.3 ft tall,,"3.3"" - 156.3""","0.13"" - 5.99""",,Low,Prefers sandy or loamy soils.  Does not grow well in clay soils.," 16.4"" - 59.1"""," 37.4"" - 88.1""",,"0.02"" - 42.79""","-230"" - 14460""",,Yellow,Moderately Easy,611,https://inaturalist-open-data.s3.amazonaws.com/photos/11822/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Poa-secunda-(One-Sided-Blue-Grass)?srchcr=sc61b191ea5b86a"
172,Heliotropium curassavicum,"Common Names: Monkey Tail, Quail Plant, Salt Heliotrope",Perennial herb,1.2 - 1.6 ft tall,,"2.3"" - 57.8""","0.14"" - 2.58""",Full Sun,Moderate - High,"Grows in many soil types, often in saline or alkaline soils."," 29.4"" - 61.4"""," 57.6"" - 90.6""",,"0.37"" - 48.82""","-232"" - 7497""",,"Blue,  Lavender,  White",,8210,https://static.inaturalist.org/photos/84587988/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Heliotropium-curassavicum-(Seaside-Heliotrope)?srchcr=sc61b191ea5b86a"
173,Abronia umbellata,"Common Names: Beach Sand Verbena, Beach Sand-verbena, Purple Sand Verbena",Annual herb,,,"2.4"" - 64.4""","0.15"" - 1.98""",Full Sun,"Extremely Low, Very Low","Sandy, well-drained soil. Soil PH: 4.6 - 7.8"," 44.4"" - 60.6"""," 57.4"" - 90.2""",,"0.01"" - 48.21""","-253"" - 3239""",Bee Gardens,"Pink,  White,  Purple",,2434,https://inaturalist-open-data.s3.amazonaws.com/photos/6312/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Abronia-umbellata-(Pink-Sand-Verbena)?srchcr=sc61b191ea5b86a"
174,Phacelia cicutaria,"Common Names: Caterpillar Scorpionweed, Caterpiller Phacelia",Annual herb,0.6 - 2 ft tall2 ft wide,,"3.5"" - 51.5""","0.14"" - 2.42""","Full Sun,  Part Shade",Very Low,Soil PH: 5.3 - 8.2," 27.8"" - 59.1"""," 54.2"" - 87.8""",Tolerates cold to 15° F,"0.84"" - 38.88""","-32"" - 7672""","Butterfly Gardens, Bee Gardens","Lavender,  Cream,  White",Moderately Easy,3597,https://inaturalist-open-data.s3.amazonaws.com/photos/31426/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Phacelia-cicutaria-(Caterpillar-Phacelia)?srchcr=sc61b191ea5b86a"
175,Astragalus trichopodus,"Common Names: Santa Barbara Milk-vetch, Santa Barbara Milkvetch",Perennial herb,0.7 - 3.3 ft tall3.3 - 4.9 ft wide,,"5.8"" - 46.5""","0.14"" - 2.30""",Full Sun,Very Low,Prefers well-draining soil. Soil PH: 4.8 - 8.2," 35.2"" - 57.2"""," 61.2"" - 80.3""",,"0.58"" - 29.30""","-17"" - 5333""",,Cream,Moderately Easy,2234,https://static.inaturalist.org/photos/64452721/small.jpeg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Astragalus-trichopodus-(Santa-Barbara-Milk-Vetch)?srchcr=sc61b191ea5b86a"
176,Calandrinia menziesii,"Botanical Names: Calandrinia ciliataCommon Names: Desert Rockpurslane, Fringed Redmaids",Annual herb,1.3 ft tall,,"5.8"" - 71.2""","0.14"" - 2.96""",Full Sun,Low,Soil PH: 5.0 - 8.0," 28.8"" - 55.8"""," 50.2"" - 84.2""",,"0.32"" - 34.96""","-7"" - 7635""",,"Red,  Pink",,5245,https://inaturalist-open-data.s3.amazonaws.com/photos/277489/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Calandrinia-menziesii-(Red-Maids)?srchcr=sc61b191ea5b86a"
177,Viola pedunculata,"Botanical Names: Viola pedunculata ssp. pedunculata,Viola pedunculata ssp. tenuifoliaCommon Names: California Golden Violet, Johnny Jump-up, Johnny-jump-up",Perennial herb,1.3 ft tall,,"5.0"" - 61.3""","0.14"" - 2.43""","Full Sun,  Part Shade",Moderate - High,Likes rich soil and no water in summer. Soil PH: 4.8 - 7.9," 36.0"" - 57.4"""," 58.4"" - 80.9""",,"0.44"" - 33.81""","7"" - 7635""","Deer Resistant, Butterfly Gardens",Yellow,,3220,https://inaturalist-open-data.s3.amazonaws.com/photos/117275296/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Viola-pedunculata-(Johnny-Jump-Up)?srchcr=sc61b191ea5b86a"
178,Eucrypta chrysanthemifolia,Common Names: Common Eucrypta,Annual herb,1.6 - 3 ft tall,,"3.1"" - 48.0""","0.14"" - 2.46""",Full Sun,Very Low,," 33.5"" - 61.4"""," 60.6"" - 88.8""",,"0.66"" - 44.63""","-43"" - 7419""",,"Lavender,  White",,1737,https://static.inaturalist.org/photos/89544763/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Eucrypta-chrysanthemifolia-(Spotted-Hideseed)?srchcr=sc61b191ea5b86a"
179,Ericameria pinifolia,Common Names: Pine-bush,Shrub,4 - 8 ft tall,,"3.5"" - 64.8""","0.18"" - 2.95""","Full Sun,  Part Shade",,Prefers sandy or loamy soils.  Does not grow well in clay soils.," 32.1"" - 59.4"""," 58.1"" - 88.2""",,"0.97"" - 39.26""","-24"" - 7419""","Hedges, Bird Gardens","White,  Yellow",Moderately Easy,240,https://inaturalist-open-data.s3.amazonaws.com/photos/81671969/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Ericameria-pinifolia-(Pinebush)?srchcr=sc61b191ea5b86a"
180,Argemone munita,"Common Names: Flat-bud Prickly Poppy, Flatbud Prickly Poppy, Flatbud Pricklypoppy","Perennial herb, Annual herb",3.3 - 5 ft tall,"['USDA Zone 5a: to -28.8 °C (-20 °F)', 'USDA Zone 5b: to -26.1 °C (-15 °F)', 'USDA Zone 6a: to -23.3 °C (-10 °F)', 'USDA Zone 6b: to -20.5 °C (-5 °F)']","2.7"" - 66.8""","0.15"" - 3.42""",Full Sun,Very Low,," 25.0"" - 60.4"""," 50.7"" - 88.3""",,"0.96"" - 40.68""","-51"" - 10045""",,"White,  Green",,2080,https://inaturalist-open-data.s3.amazonaws.com/photos/12925/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Argemone-munita-(Chicalote)?srchcr=sc61b191ea5b86a"
181,Chorizanthe staticoides,,Annual herb,1 - 2 ft tall,,"6.4"" - 51.7""","0.14"" - 2.01""",Full Sun,"Extremely Low, Very Low",," 37.7"" - 57.7"""," 63.7"" - 80.9""",,"0.59"" - 29.16""","-3814"" - 6368""",,"Pink,  Red",Moderately Easy,522,https://static.inaturalist.org/photos/12552106/small.jpeg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Chorizanthe-staticoides-(Turkish-Rugging)?srchcr=sc61b191ea5b86a"
182,Cressa truxillensis,Common Names: Spreading Alkaliweed,Perennial herb,9.8 in tall,,"2.5"" - 31.6""","0.15"" - 1.84""",Full Sun,Low,Prefers loamy or clay soils.  Grows poorly in sandy soils.," 31.2"" - 60.1"""," 59.8"" - 89.2""",,"0.62"" - 44.17""","-228"" - 5098""",,White,,720,https://inaturalist-open-data.s3.amazonaws.com/photos/8628842/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Cressa-truxillensis-(Alkali-Weed)?srchcr=sc61b191ea5b86a"
183,Malacothrix saxatilis,"Common Names: Cliff Desertdandelion, Cliff-aster",Perennial herb,1 - 2 ft tall,,"5.3"" - 45.5""","0.14"" - 2.13""",Full Sun,"Extremely Low, Very Low",," 34.1"" - 57.9"""," 59.7"" - 85.0""",,"0.79"" - 36.22""","-4136"" - 8278""","Butterfly Gardens, Bee Gardens",White,,2946,https://inaturalist-open-data.s3.amazonaws.com/photos/37508/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Malacothrix-saxatilis-(Cliff-Aster)?srchcr=sc61b191ea5b86a"
184,Pellaea andromedifolia,Common Names: Coffee Cliffbrake,Fern,9.6 in tall,"['USDA Zone 8a: to -12.2 °C (10 °F)', 'USDA Zone 8b: to -9.4 °C (15 °F)', 'USDA Zone 9a: to -6.6 °C (20 °F)', 'USDA Zone 9b: to -3.8 °C (25 °F)']","5.4"" - 70.8""","0.13"" - 2.96""","Shade, Part Shade",Low,," 30.9"" - 58.1"""," 57.3"" - 86.7""",,"0.18"" - 37.57""","-162"" - 7834""",Deer Resistant,,,3388,https://inaturalist-open-data.s3.amazonaws.com/photos/5590882/small.jpeg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Pellaea-andromedifolia-(Coffee-Fern)?srchcr=sc61b191ea5b86a"
185,Amsinckia intermedia,"Botanical Names: Amsinckia menziesii var. intermediaCommon Names: Amsinckia Menziesii Var. Inter, Coast Buckthorn, Coast Fiddleneck, Intermediate Fiddleneck",Annual herb,0.7 - 3.9 ft tall,,"2.9"" - 117.4""","0.13"" - 3.43""",Full Sun,Low,," 30.5"" - 62.2"""," 54.3"" - 88.2""",,"0.09"" - 40.81""","-162"" - 7631""",,"Yellow,  Orange",Moderately Easy,1400,https://inaturalist-open-data.s3.amazonaws.com/photos/23982764/small.jpeg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Amsinckia-intermedia-(Common-Fiddleneck)?srchcr=sc61b191ea5b86a"
186,Senecio flaccidus,"Common Names: Bush Senecio, Creek Senecio, Douglas Senecio, Threadleaf Groundsel",Shrub,5 ft tall,,"3.2"" - 51.2""","0.14"" - 4.37""",Full Sun,"Extremely Low, Very Low",," 28.8"" - 56.6"""," 55.4"" - 85.8""",,"0.68"" - 40.38""","3"" - 10012""",,Yellow,,2231,https://inaturalist-open-data.s3.amazonaws.com/photos/15582020/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Senecio-flaccidus-(Threadleaf-Ragwort)?srchcr=sc61b191ea5b86a"
187,Ambrosia acanthicarpa,"Common Names: Annual Bur-sage, Annual Burrweed, Bursage Ragweed, Flat-spine Burr-ragweed, Flatspine Bur Ragweed, Flatspine Burr Ragweed, Sand Bursage",Annual herb,3.3 - 5 ft tall,,"3.0"" - 51.7""","0.12"" - 2.58""","Full Sun,  Part Shade",Very Low,," 25.8"" - 59.2"""," 53.6"" - 88.8""",,"0.65"" - 39.49""","-15"" - 8086""",,Cream,Moderately Easy,1140,https://inaturalist-open-data.s3.amazonaws.com/photos/25386149/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Ambrosia-acanthicarpa-(Annual-Bursage)?srchcr=sc61b191ea5b86a"
188,Dryopteris arguta,"Common Names: California Wood Fern, Coastal Woodfern",Fern,2 ft tall,,"6.9"" - 101.0""","0.14"" - 2.76""","Full Sun,  Part Shade,  Full Shade",Very Low,," 28.6"" - 56.6"""," 54.0"" - 80.8""",,"0.05"" - 29.06""","-227"" - 8278""","Groundcovers, Deer Resistant",,,4850,https://inaturalist-open-data.s3.amazonaws.com/photos/19326/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Dryopteris-arguta-(Coastal-Wood-Fern)?srchcr=sc61b191ea5b86a"
189,Hordeum depressum,Common Names: Dwarf Barley,Grasses,1.8 ft tall,,"3.0"" - 78.8""","0.14"" - 2.54""",Full Sun,Moderate - High,," 25.2"" - 57.4"""," 52.5"" - 89.3""",,"0.30"" - 39.89""","-190"" - 8636""",,Brwon,Moderately Easy,24,https://static.inaturalist.org/photos/36766482/small.jpeg?1556490449,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Hordeum-depressum-(Low-Barley)?srchcr=sc61b191ea5b86a"
190,Lomatium dasycarpum,Common Names: Woollyfruit Desertparsley,Perennial herb,1.6 ft tall,,"3.3"" - 81.8""","0.14"" - 2.96""",Full Sun,"Extremely Low, Very Low",," 32.2"" - 60.3"""," 53.6"" - 88.0""",,"0.20"" - 38.85""","7"" - 6775""",Butterfly Gardens,"Yellow,  Green,  Purple",,1847,https://static.inaturalist.org/photos/112753585/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Lomatium-dasycarpum-(Woolly-Fruited-Lomatium)?srchcr=sc61b191ea5b86a"
191,Marah macrocarpa,"Common Names: Cucamonga Manroot, Southern Wild-cucumber","Vine, Perennial herb",,,"2.6"" - 46.1""","0.14"" - 3.08""",Full Sun,"Very Low, Low",," 35.2"" - 58.8"""," 57.6"" - 88.5""",,"0.97"" - 38.62""","-159"" - 6768""",,White,,7887,https://inaturalist-open-data.s3.amazonaws.com/photos/16859839/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Marah-macrocarpa-(Wild-Cucumber)?srchcr=sc61b191ea5b86a"
192,Scirpus microcarpus,"Common Names: Red-tinge Bulrush, Smallfruit Bulrush",Grasses,2.8 - 5.5 ft tall,,"5.7"" - 158.0""","0.14"" - 5.78""",Part Shade,Moderate - High,"Adaptable, tolerant of sand, loam and clay"," 23.3"" - 55.2"""," 46.7"" - 84.9""",,"0.01"" - 36.04""","-253"" - 10365""",Bogs and Ponds,White,,2548,https://inaturalist-open-data.s3.amazonaws.com/photos/12835/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Scirpus-microcarpus-(Panicled-Bulrush)?srchcr=sc61b191ea5b86a"
193,Elymus multisetus,Common Names: Big Squirreltail Grass,Grasses,2 ft tall,,"5.0"" - 137.8""","0.13"" - 4.39""",Full Sun,Very Low,," 20.8"" - 56.5"""," 38.9"" - 80.3""",,"0.08"" - 31.25""","-7"" - 12570""",,Brown,,130,https://inaturalist-open-data.s3.amazonaws.com/photos/3672031/small.jpeg?1463262657,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Elymus-multisetus-(Big-Squirreltail)?srchcr=sc61b191ea5b86a"
194,Muhlenbergia microsperma,,Grasses,2 - 2.6 ft tall,,"2.6"" - 35.1""","0.14"" - 2.91""",Full Sun,Low,," 39.9"" - 64.2"""," 61.7"" - 89.3""",,"0.47"" - 42.83""","-190"" - 5625""",,Brown,Moderately Easy,200,https://static.inaturalist.org/photos/14757246/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Muhlenbergia-microsperma-(Littleseed-Muhly)?srchcr=sc61b191ea5b86a"
195,Bolboschoenus robustus,"Botanical Names: Scirpus robustusCommon Names: Alkali Bulrush, Saltmarsh Bulrush, Seacoast Bulrush, Sturdy Bulrush",Grasses,3.3 - 5 ft tall,,"2.9"" - 47.1""","0.18"" - 1.16""",Full Sun,Moderate - High,," 44.2"" - 60.1"""," 57.5"" - 89.4""",,"0.01"" - 43.66""","-213"" - 2059""",Bogs and Ponds,Brown,,239,https://inaturalist-open-data.s3.amazonaws.com/photos/79020136/small.jpeg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Bolboschoenus-robustus-(Big-Bulrush)?srchcr=sc61b191ea5b86a"
196,Trifolium willdenovii,,Annual herb,,,"5.0"" - 117.4""","0.14"" - 3.43""",Full Sun,Low,," 24.6"" - 57.2"""," 45.5"" - 81.0""",,"0.09"" - 33.97""","-247"" - 11310""",Bee Gardens,Lavender,,2976,https://inaturalist-open-data.s3.amazonaws.com/photos/7281178/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Trifolium-willdenovii-(Tomcat-Clover)?srchcr=sc61b191ea5b86a"
197,Calystegia macrostegia ssp. cyclostegia,"Common Names: Island False Bindweed, Southern Morning-glory","Perennial herb, Shrub, Vine",,"['USDA Zone 7a: to -17.7 °C (0 °F)', 'USDA Zone 7b: to -14.9 °C (5 °F)', 'USDA Zone 8a: to -12.2 °C (10 °F)', 'USDA Zone 8b: to -9.4 °C (15 °F)', 'USDA Zone 9a: to -6.6 °C (20 °F)', 'USDA Zone 9b: to -3.8 °C (25 °F)', 'USDA Zone 10a: to -1.1 °C (30 °F)', 'USDA Zone 10b: to 1.7 °C (35 °F)']","7.6"" - 47.8""","0.14"" - 1.76""",Full Sun,"Extremely Low, Very Low",," 39.9"" - 56.3"""," 58.2"" - 80.9""",,"0.60"" - 29.71""","-139"" - 5062""",Bee Gardens,White,,5558,https://inaturalist-open-data.s3.amazonaws.com/photos/3195315/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Calystegia-macrostegia-ssp.-cyclostegia-(Coast-Morning-Glory)?srchcr=sc61b191ea5b86a"
198,Epilobium canum ssp. canum,"Common Names: Hummingbird Trumpet, Zauschneria",Perennial herb,3 ft tall,,"5.5"" - 61.1""","0.14"" - 2.98""",Full Sun,"Very Low, Low",Soil PH:  -," 24.9"" - 57.3"""," 52.8"" - 84.3""",Tolerates cold to  -  degrees F,"0.30"" - 35.94""","-714"" - 9250""","Groundcovers, Deer Resistant, Bird Gardens, Hummingbird Gardens, Butterfly Gardens",Red,,8528,https://inaturalist-open-data.s3.amazonaws.com/photos/5301/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Epilobium-canum-ssp.-canum-(California-Fuchsia)?srchcr=sc61b191ea5b86a"
199,Astragalus trichopodus var. lonchus,,Perennial herb,0.7 - 3.3 ft tall,,"9.4"" - 28.8""","0.14"" - 1.30""",Full Sun,Very Low,," 39.6"" - 57.2"""," 61.2"" - 80.3""",,"0.72"" - 26.96""","-17"" - 3891""",,Cream,,2234,https://static.inaturalist.org/photos/64452721/small.jpeg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Astragalus-trichopodus-var.-lonchus-(Santa-Barbara-Milk-Vetch)?srchcr=sc61b191ea5b86a"
200,Calochortus albus,"Common Names: Pink Fairy Lantern, White Fairy Lantern, White Fairy-lantern, White Globelily",Perennial herb,0.7 - 2.6 ft tall,"['USDA Zone 8a: to -12.2 °C (10 °F)', 'USDA Zone 8b: to -9.4 °C (15 °F)', 'USDA Zone 9a: to -6.6 °C (20 °F)', 'USDA Zone 9b: to -3.8 °C (25 °F)', 'USDA Zone 10a: to -1.1 °C (30 °F)', 'USDA Zone 10b: to 1.7 °C (35 °F)']","11.4"" - 75.7""","0.14"" - 2.53""","Full Sun,  Part Shade,  Full Shade",Low,," 31.9"" - 56.2"""," 58.8"" - 79.5""",,"0.54"" - 26.01""","5"" - 6802""",,"White,  Green,  Red",,4150,https://inaturalist-open-data.s3.amazonaws.com/photos/3480/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Calochortus-albus-(White-Globe-Lily)?srchcr=sc61b191ea5b86a"
201,Festuca microstachys,"Botanical Names: Vulpia microstachys var. pauciflora,Vulpia microstachys,Vulpia microstachys var. ciliata,Vulpia microstachys var. microstachysCommon Names: Few-flowered Fescue",Grasses,2.5 ft tall,,"4.1"" - 127.8""","0.13"" - 3.90""",Full Sun,Very Low,," 22.0"" - 62.2"""," 47.4"" - 86.5""",,"0.14"" - 37.99""","-13"" - 10807""","Hummingbird Gardens, Bird Gardens, Bee Gardens",Brown,,320,https://inaturalist-open-data.s3.amazonaws.com/photos/28300613/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Festuca-microstachys-(Pacific-Fescue)?srchcr=sc61b191ec81c14"
202,Acmispon glaber var. glaber,Botanical Names: Lotus scoparius var. scoparius,Perennial herb,1.6 - 7 ft tall,,"7.7"" - 69.6""","0.14"" - 2.77""",Full Sun,Very Low,," 40.9"" - 56.6"""," 58.1"" - 81.9""",,"0.38"" - 33.66""","-18"" - 5099""",,Yellow,,10635,https://inaturalist-open-data.s3.amazonaws.com/photos/5247/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Acmispon-glaber-var.-glaber-(Common-Deerweed)?srchcr=sc61b191ec81c14"
203,Stanleya pinnata,"Common Names: Desert Prince'splume, Desert Princesplume, Golden Prince's-plume","Perennial Herb, Shrub",4.9 ft tall,,"3.4"" - 48.2""","0.16"" - 3.11""",Full Sun,Low,," 28.4"" - 57.6"""," 51.1"" - 86.2""",,"0.71"" - 38.68""","-5"" - 10141""",,Yellow,Moderately Easy,1571,https://inaturalist-open-data.s3.amazonaws.com/photos/7036454/small.jpeg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Stanleya-pinnata-(Prince\'s-Plume)?srchcr=sc61b191ec81c14"
204,Dichondra occidentalis,Common Names: Western Dichondra,Perennial herb,,,"9.8"" - 33.2""","0.15"" - 1.00""","Full Sun,  Part Shade","Very Low, Low",," 44.8"" - 57.0"""," 60.4"" - 78.2""",,"0.93"" - 23.38""","4"" - 3511""",,Cream,Moderately Easy,203,https://inaturalist-open-data.s3.amazonaws.com/photos/405502/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Dichondra-occidentalis-(Western-Ponysfoot)?srchcr=sc61b191ec81c14"
205,Solanum douglasii,"Common Names: Green-spot Nightshade, Greenspot Nightshade",Perennial herb,3.5 - 7 ft tall,,"3.8"" - 59.0""","0.14"" - 2.12""","Full Sun,  Part Shade","Extremely Low, Very Low",," 32.4"" - 58.3"""," 58.4"" - 87.8""",,"0.01"" - 38.88""","-53"" - 6869""",Bird Gardens,"White,  Lavender",Moderately Easy,3351,https://inaturalist-open-data.s3.amazonaws.com/photos/39222/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Solanum-douglasii-(Douglas\'-Nightshade)?srchcr=sc61b191ec81c14"
206,Pentagramma triangularis,"Common Names: Goldback Fern, Western Goldfern",Fern,,,"2.4"" - 117.2""","0.13"" - 3.16""",Full Sun,"Very Low, Low",," 27.1"" - 59.1"""," 44.6"" - 87.9""",,"0.01"" - 38.36""","-293"" - 9001""",Deer Resistant,,,6223,https://inaturalist-open-data.s3.amazonaws.com/photos/302400/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Pentagramma-triangularis-(Goldenback-Fern)?srchcr=sc61b191ec81c14"
