Plant Name,Other Names,Plant Type,Plant Size,Growing Zones,Rainfall,Summer Rainfall,Sun,Moisture,Soil,Coldest Month,Hottest Month,Cold Tolerance,Humidity,Elevation,Uses,Flower Color,Ease of Care,Sightings,Image,Calscape url
Juncus acutus ssp. leopoldii,Common Names: Leopold Rush,Grasses,5 ft tall,,"2.7"" - 36.4""","0.18"" - 1.38""",Full Sun,Moderate - High,Tolerant of a variety of garden soils as long as sufficient moisture is available," 42.1"" - 60.1"""," 62.6"" - 88.8""",,"0.92"" - 40.20""","-142"" - 3968""",,Brown,,2556,https://inaturalist-open-data.s3.amazonaws.com/photos/3013641/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Juncus-acutus-ssp.-leopoldii-(Leopold\'s-Rush)?srchcr=sc61ab02a5119b0"
Mimulus aurantiacus var. pubescens,"Botanical Names: Mimulus longiflorus,Diplacus longiflorus,Diplacus aurantiacus var. pubescensCommon Names: Southern Bush Monkeyflower",Shrub,0.33 - 3 ft tall,,"3.6"" - 71.8""","0.14"" - 2.71""",Part Shade,Low,Tolerates a variety of soils as long as adequate drainage is provided," 23.8"" - 57.2"""," 51.0"" - 83.0""",,"0.65"" - 34.52""","-62"" - 9395""","Deer Resistant, Hummingbird Gardens, Bird Gardens, Butterfly Gardens, Bee Gardens","Yellow,  Orange",Moderately Easy,11806,https://inaturalist-open-data.s3.amazonaws.com/photos/3808493/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Mimulus-aurantiacus-var.-pubescens-(Sticky-Monkeyflower)?srchcr=sc61ab02a5119b0"
Poa secunda,"Common Names: Alkali Bluegrass, Big Bluegrass, Canby's Bluegrass, Sandberg Bluegrass",Grasses,1.4 - 3.3 ft tall,,"3.3"" - 156.3""","0.13"" - 5.99""",,Low,Prefers sandy or loamy soils.  Does not grow well in clay soils.," 16.4"" - 59.1"""," 37.4"" - 88.1""",,"0.02"" - 42.79""","-230"" - 14460""",,Yellow,Moderately Easy,609,https://inaturalist-open-data.s3.amazonaws.com/photos/11822/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Poa-secunda-(One-Sided-Blue-Grass)?srchcr=sc61ab02a5119b0"
Heliotropium curassavicum,"Common Names: Monkey Tail, Quail Plant, Salt Heliotrope",Perennial herb,1.2 - 1.6 ft tall,,"2.3"" - 57.8""","0.14"" - 2.58""",Full Sun,Moderate - High,"Grows in many soil types, often in saline or alkaline soils."," 29.4"" - 61.4"""," 57.6"" - 90.6""",,"0.37"" - 48.82""","-232"" - 7497""",,"Blue,  Lavender,  White",,8198,https://static.inaturalist.org/photos/84587988/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Heliotropium-curassavicum-(Seaside-Heliotrope)?srchcr=sc61ab02a5119b0"
Abronia umbellata,"Common Names: Beach Sand Verbena, Beach Sand-verbena, Purple Sand Verbena",Annual herb,,,"2.4"" - 64.4""","0.15"" - 1.98""",Full Sun,"Extremely Low, Very Low","Sandy, well-drained soil. Soil PH: 4.6 - 7.8"," 44.4"" - 60.6"""," 57.4"" - 90.2""",,"0.01"" - 48.21""","-253"" - 3239""",Bee Gardens,"Pink,  White,  Purple",,2398,https://inaturalist-open-data.s3.amazonaws.com/photos/6312/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Abronia-umbellata-(Pink-Sand-Verbena)?srchcr=sc61ab02a5119b0"
Phacelia cicutaria,"Common Names: Caterpillar Scorpionweed, Caterpiller Phacelia",Annual herb,0.6 - 2 ft tall2 ft wide,,"3.5"" - 51.5""","0.14"" - 2.42""","Full Sun,  Part Shade",Very Low,Soil PH: 5.3 - 8.2," 27.8"" - 59.1"""," 54.2"" - 87.8""",Tolerates cold to 15° F,"0.84"" - 38.88""","-32"" - 7672""","Butterfly Gardens, Bee Gardens","Lavender,  Cream,  White",Moderately Easy,3598,https://inaturalist-open-data.s3.amazonaws.com/photos/31426/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Phacelia-cicutaria-(Caterpillar-Phacelia)?srchcr=sc61ab02a5119b0"
Astragalus trichopodus,"Common Names: Santa Barbara Milk-vetch, Santa Barbara Milkvetch",Perennial herb,0.7 - 3.3 ft tall3.3 - 4.9 ft wide,,"5.8"" - 46.5""","0.14"" - 2.30""",Full Sun,Very Low,Prefers well-draining soil. Soil PH: 4.8 - 8.2," 35.2"" - 57.2"""," 61.2"" - 80.3""",,"0.58"" - 29.30""","-17"" - 5333""",,Cream,Moderately Easy,2230,https://static.inaturalist.org/photos/64452721/small.jpeg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Astragalus-trichopodus-(Santa-Barbara-Milk-Vetch)?srchcr=sc61ab02a5119b0"
Eriogonum gracile,,Annual herb,1 - 2 ft tall0.3 - 0.7 ft wide,,"5.8"" - 71.6""","0.15"" - 2.66""",Full Sun,"Extremely Low, Very Low",Soil PH: 5.2 - 8.2," 30.8"" - 56.7"""," 55.0"" - 84.2""",,"0.41"" - 35.58""","7"" - 9984""","Bird Gardens, Butterfly Gardens, Bee Gardens","Cream,  Pink,  White,  Yellow,  Brown",,628,https://inaturalist-open-data.s3.amazonaws.com/photos/11663883/small.jpeg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Eriogonum-gracile-(Slender-Woolly-Buckwheat)?srchcr=sc61ab02a5119b0"
Calandrinia menziesii,"Botanical Names: Calandrinia ciliataCommon Names: Desert Rockpurslane, Fringed Redmaids",Annual herb,1.3 ft tall,,"5.8"" - 71.2""","0.14"" - 2.96""",Full Sun,Low,Soil PH: 5.0 - 8.0," 28.8"" - 55.8"""," 50.2"" - 84.2""",,"0.32"" - 34.96""","-7"" - 7635""",,"Red,  Pink",,5243,https://inaturalist-open-data.s3.amazonaws.com/photos/277489/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Calandrinia-menziesii-(Red-Maids)?srchcr=sc61ab02a5119b0"
Gutierrezia sarothrae,"Common Names: Broom Snakeweed, Broomsnakeweed, Broomweed, Perennial Matchweed, Perennial Snakeweed, Stinkweed, Turpentine Weed",Shrub,1.5 - 2 ft tall,,"3.5"" - 41.8""","0.16"" - 4.41""",Full Sun,"Extremely Low, Very Low","Adaptable, tolerant of sand, loam and clay"," 22.0"" - 58.3"""," 41.4"" - 87.0""",,"0.94"" - 41.88""","19"" - 11854""",,"Yellow,  Brown",,5169,https://inaturalist-open-data.s3.amazonaws.com/photos/51267043/small.jpeg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Gutierrezia-sarothrae-(Matchweed)?srchcr=sc61ab02a5119b0"
Viola pedunculata,"Botanical Names: Viola pedunculata ssp. pedunculata,Viola pedunculata ssp. tenuifoliaCommon Names: California Golden Violet, Johnny Jump-up, Johnny-jump-up",Perennial herb,1.3 ft tall,,"5.0"" - 61.3""","0.14"" - 2.43""","Full Sun,  Part Shade",Moderate - High,Likes rich soil and no water in summer. Soil PH: 4.8 - 7.9," 36.0"" - 57.4"""," 58.4"" - 80.9""",,"0.44"" - 33.81""","7"" - 7635""","Deer Resistant, Butterfly Gardens",Yellow,,3219,https://inaturalist-open-data.s3.amazonaws.com/photos/117275296/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Viola-pedunculata-(Johnny-Jump-Up)?srchcr=sc61ab02a5119b0"
Vicia americana,Common Names: Purple Vetch,"Vine, Perennial herb",1.3 ft tall,,"5.2"" - 158.0""","0.14"" - 5.80""","Full Sun,  Part Shade",,Prefers sandy or loamy soils.  Does not grow well in clay soils.," 27.0"" - 57.1"""," 49.2"" - 80.8""",,"0.09"" - 33.76""","1"" - 8772""",Butterfly Gardens,"Purple,  Pink,  Lavender",Moderately Easy,4991,https://static.inaturalist.org/photos/5694910/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Vicia-americana-(American-Vetch)?srchcr=sc61ab02a5119b0"
Eucrypta chrysanthemifolia,Common Names: Common Eucrypta,Annual herb,1.6 - 3 ft tall,,"3.1"" - 48.0""","0.14"" - 2.46""",Full Sun,Very Low,," 33.5"" - 61.4"""," 60.6"" - 88.8""",,"0.66"" - 44.63""","-43"" - 7419""",,"Lavender,  White",,1738,https://static.inaturalist.org/photos/89544763/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Eucrypta-chrysanthemifolia-(Spotted-Hideseed)?srchcr=sc61ab02a5119b0"
Ericameria pinifolia,Common Names: Pine-bush,Shrub,4 - 8 ft tall,,"3.5"" - 64.8""","0.18"" - 2.95""","Full Sun,  Part Shade",,Prefers sandy or loamy soils.  Does not grow well in clay soils.," 32.1"" - 59.4"""," 58.1"" - 88.2""",,"0.97"" - 39.26""","-24"" - 7419""","Hedges, Bird Gardens","White,  Yellow",Moderately Easy,237,https://inaturalist-open-data.s3.amazonaws.com/photos/81671969/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Ericameria-pinifolia-(Pinebush)?srchcr=sc61ab02a5119b0"
Croton setiger,"Botanical Names: Eremocarpus setigerus;Croton setigerusCommon Names: Croton, Dove Weed, Doveweed",Annual Herb,7.9 in tall,,"4.0"" - 82.9""","0.15"" - 2.27""","Full Sun,  Part Shade",Very Low,," 32.7"" - 56.4"""," 59.9"" - 82.1""",,"0.47"" - 34.19""","7"" - 5419""",,"Cream,  Green",Moderately Easy,5249,https://inaturalist-open-data.s3.amazonaws.com/photos/992179/small.JPG,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Croton-setiger-(Turkey-Mullein)?srchcr=sc61ab02a5119b0"
Baccharis glutinosa,"Botanical Names: Baccharis douglasiiCommon Names: Douglas' Baccharis, Salt Marsh Baccharis",Perennial herb,3.3 - 7 ft tall,,"5.4"" - 67.0""","0.14"" - 2.71""",Part Shade,Moderate - High,," 38.4"" - 56.4"""," 57.5"" - 81.0""",,"0.02"" - 31.21""","-7"" - 5892""","Butterfly Gardens, Bird Gardens, Bee Gardens","Cream,  Brown",,866,https://inaturalist-open-data.s3.amazonaws.com/photos/2654831/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Baccharis-glutinosa-(Saltmarsh-Baccharis)?srchcr=sc61ab02a5119b0"
Chorizanthe staticoides,,Annual herb,1 - 2 ft tall,,"6.4"" - 51.7""","0.14"" - 2.01""",Full Sun,"Extremely Low, Very Low",," 37.7"" - 57.7"""," 63.7"" - 80.9""",,"0.59"" - 29.16""","-3814"" - 6368""",,"Pink,  Red",Moderately Easy,521,https://static.inaturalist.org/photos/12552106/small.jpeg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Chorizanthe-staticoides-(Turkish-Rugging)?srchcr=sc61ab02a5119b0"
Cressa truxillensis,Common Names: Spreading Alkaliweed,Perennial herb,9.8 in tall,,"2.5"" - 31.6""","0.15"" - 1.84""",Full Sun,Low,Prefers loamy or clay soils.  Grows poorly in sandy soils.," 31.2"" - 60.1"""," 59.8"" - 89.2""",,"0.62"" - 44.17""","-228"" - 5098""",,White,,717,https://inaturalist-open-data.s3.amazonaws.com/photos/8628842/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Cressa-truxillensis-(Alkali-Weed)?srchcr=sc61ab02a5119b0"
Malacothrix saxatilis,"Common Names: Cliff Desertdandelion, Cliff-aster",Perennial herb,1 - 2 ft tall,,"5.3"" - 45.5""","0.14"" - 2.13""",Full Sun,"Extremely Low, Very Low",," 34.1"" - 57.9"""," 59.7"" - 85.0""",,"0.79"" - 36.22""","-4136"" - 8278""","Butterfly Gardens, Bee Gardens",White,,2932,https://inaturalist-open-data.s3.amazonaws.com/photos/37508/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Malacothrix-saxatilis-(Cliff-Aster)?srchcr=sc61ab02a5119b0"
Hordeum intercedens,Common Names: Vernal Barley,Grasses,1.3 ft tall,,"6.5"" - 63.6""","0.14"" - 1.91""",Full Sun,"Low, Moderate - High",," 30.6"" - 57.3"""," 54.7"" - 80.9""",,"1.03"" - 29.33""","2"" - 6806""",,Green,Moderately Easy,20,https://inaturalist-open-data.s3.amazonaws.com/photos/763845/small.jpeg?1544738790,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Hordeum-intercedens-(Bobtail-Barley)?srchcr=sc61ab02a5119b0"
Pellaea andromedifolia,Common Names: Coffee Cliffbrake,Fern,9.6 in tall,"['USDA Zone 8a: to -12.2 °C (10 °F)', 'USDA Zone 8b: to -9.4 °C (15 °F)', 'USDA Zone 9a: to -6.6 °C (20 °F)', 'USDA Zone 9b: to -3.8 °C (25 °F)']","5.4"" - 70.8""","0.13"" - 2.96""","Shade, Part Shade",Low,," 30.9"" - 58.1"""," 57.3"" - 86.7""",,"0.18"" - 37.57""","-162"" - 7834""",Deer Resistant,,,3368,https://inaturalist-open-data.s3.amazonaws.com/photos/5590882/small.jpeg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Pellaea-andromedifolia-(Coffee-Fern)?srchcr=sc61ab02a5119b0"
Amsinckia intermedia,"Botanical Names: Amsinckia menziesii var. intermediaCommon Names: Amsinckia Menziesii Var. Inter, Coast Buckthorn, Coast Fiddleneck, Intermediate Fiddleneck",Annual herb,0.7 - 3.9 ft tall,,"2.9"" - 117.4""","0.13"" - 3.43""",Full Sun,Low,," 30.5"" - 62.2"""," 54.3"" - 88.2""",,"0.09"" - 40.81""","-162"" - 7631""",,"Yellow,  Orange",Moderately Easy,1400,https://inaturalist-open-data.s3.amazonaws.com/photos/23982764/small.jpeg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Amsinckia-intermedia-(Common-Fiddleneck)?srchcr=sc61ab02a5119b0"
Ambrosia acanthicarpa,"Common Names: Annual Bur-sage, Annual Burrweed, Bursage Ragweed, Flat-spine Burr-ragweed, Flatspine Bur Ragweed, Flatspine Burr Ragweed, Sand Bursage",Annual herb,3.3 - 5 ft tall,,"3.0"" - 51.7""","0.12"" - 2.58""","Full Sun,  Part Shade",Very Low,," 25.8"" - 59.2"""," 53.6"" - 88.8""",,"0.65"" - 39.49""","-15"" - 8086""",,Cream,Moderately Easy,1135,https://inaturalist-open-data.s3.amazonaws.com/photos/25386149/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Ambrosia-acanthicarpa-(Annual-Bursage)?srchcr=sc61ab02a5119b0"
Equisetum laevigatum,"Common Names: Smooth Horsetail, Smooth Scouring Rush, Smooth Scouring-rush, Smooth Scouringrush",Fern,3 - 6 ft tall,,"2.8"" - 76.9""","0.15"" - 2.73""","Shade, Part Shade",Moderate - High,Prefers loamy or clay soils.  Grows poorly in sandy soils.," 23.8"" - 58.8"""," 45.9"" - 88.2""",,"0.39"" - 38.63""","-293"" - 10562""","Bogs and Ponds, Deer Resistant, Bird Gardens",,Moderately Easy,1382,https://static.inaturalist.org/photos/82505880/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Equisetum-laevigatum-(Horsetail)?srchcr=sc61ab02a5119b0"
Hordeum depressum,Common Names: Dwarf Barley,Grasses,1.8 ft tall,,"3.0"" - 78.8""","0.14"" - 2.54""",Full Sun,Moderate - High,," 25.2"" - 57.4"""," 52.5"" - 89.3""",,"0.30"" - 39.89""","-190"" - 8636""",,Brwon,Moderately Easy,24,https://static.inaturalist.org/photos/36766482/small.jpeg?1556490449,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Hordeum-depressum-(Low-Barley)?srchcr=sc61ab02a5119b0"
Abronia villosa,"Common Names: Desert Sand Verbena, Desert Sand-verbena, Desert Sandverbena",Annual Herb,,,"2.4"" - 29.4""","0.16"" - 2.31""",Full Sun,"Extremely Low, Very Low",," 33.5"" - 61.4"""," 60.7"" - 89.7""",,"1.11"" - 47.01""","-228"" - 7029""",Bee Gardens,"Pink,  Purple",,2937,https://static.inaturalist.org/photos/117389011/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Abronia-villosa-(Hairy-Sand-Verbena)?srchcr=sc61ab02a5119b0"
Marah macrocarpa,"Common Names: Cucamonga Manroot, Southern Wild-cucumber","Vine, Perennial herb",,,"2.6"" - 46.1""","0.14"" - 3.08""",Full Sun,"Very Low, Low",," 35.2"" - 58.8"""," 57.6"" - 88.5""",,"0.97"" - 38.62""","-159"" - 6768""",,White,,7861,https://inaturalist-open-data.s3.amazonaws.com/photos/16859839/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Marah-macrocarpa-(Wild-Cucumber)?srchcr=sc61ab02a5119b0"
Muhlenbergia microsperma,,Grasses,2 - 2.6 ft tall,,"2.6"" - 35.1""","0.14"" - 2.91""",Full Sun,Low,," 39.9"" - 64.2"""," 61.7"" - 89.3""",,"0.47"" - 42.83""","-190"" - 5625""",,Brown,Moderately Easy,199,https://static.inaturalist.org/photos/14757246/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Muhlenbergia-microsperma-(Littleseed-Muhly)?srchcr=sc61ab02a5119b0"
Aristida adscensionis,,Grasses,0.16 - 2.6 ft tall,,"2.5"" - 46.7""","0.14"" - 2.88""",Full Sun,"Extremely Low, Very Low",," 38.6"" - 64.2"""," 56.2"" - 89.3""",,"0.91"" - 42.79""","-190"" - 7081""",,Brown,Moderately Easy,450,https://inaturalist-open-data.s3.amazonaws.com/photos/24630278/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Aristida-adscensionis-(Sixweeks-Threeawn)?srchcr=sc61ab02a5119b0"
Trifolium willdenovii,,Annual herb,,,"5.0"" - 117.4""","0.14"" - 3.43""",Full Sun,Low,," 24.6"" - 57.2"""," 45.5"" - 81.0""",,"0.09"" - 33.97""","-247"" - 11310""",Bee Gardens,Lavender,,2978,https://inaturalist-open-data.s3.amazonaws.com/photos/7281178/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Trifolium-willdenovii-(Tomcat-Clover)?srchcr=sc61ab02a5119b0"
Calystegia macrostegia ssp. cyclostegia,"Common Names: Island False Bindweed, Southern Morning-glory","Perennial herb, Shrub, Vine",,"['USDA Zone 7a: to -17.7 °C (0 °F)', 'USDA Zone 7b: to -14.9 °C (5 °F)', 'USDA Zone 8a: to -12.2 °C (10 °F)', 'USDA Zone 8b: to -9.4 °C (15 °F)', 'USDA Zone 9a: to -6.6 °C (20 °F)', 'USDA Zone 9b: to -3.8 °C (25 °F)', 'USDA Zone 10a: to -1.1 °C (30 °F)', 'USDA Zone 10b: to 1.7 °C (35 °F)']","7.6"" - 47.8""","0.14"" - 1.76""",Full Sun,"Extremely Low, Very Low",," 39.9"" - 56.3"""," 58.2"" - 80.9""",,"0.60"" - 29.71""","-139"" - 5062""",Bee Gardens,White,,5554,https://inaturalist-open-data.s3.amazonaws.com/photos/3195315/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Calystegia-macrostegia-ssp.-cyclostegia-(Coast-Morning-Glory)?srchcr=sc61ab02a5119b0"
Epilobium canum ssp. canum,"Common Names: Hummingbird Trumpet, Zauschneria",Perennial herb,3 ft tall,,"5.5"" - 61.1""","0.14"" - 2.98""",Full Sun,"Very Low, Low",Soil PH:  -," 24.9"" - 57.3"""," 52.8"" - 84.3""",Tolerates cold to  -  degrees F,"0.30"" - 35.94""","-714"" - 9250""","Groundcovers, Deer Resistant, Bird Gardens, Hummingbird Gardens, Butterfly Gardens",Red,,8494,https://inaturalist-open-data.s3.amazonaws.com/photos/5301/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Epilobium-canum-ssp.-canum-(California-Fuchsia)?srchcr=sc61ab02a5119b0"
Astragalus trichopodus var. lonchus,,Perennial herb,0.7 - 3.3 ft tall,,"9.4"" - 28.8""","0.14"" - 1.30""",Full Sun,Very Low,," 39.6"" - 57.2"""," 61.2"" - 80.3""",,"0.72"" - 26.96""","-17"" - 3891""",,Cream,,2230,https://static.inaturalist.org/photos/64452721/small.jpeg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Astragalus-trichopodus-var.-lonchus-(Santa-Barbara-Milk-Vetch)?srchcr=sc61ab02a5119b0"
Calochortus albus,"Common Names: Pink Fairy Lantern, White Fairy Lantern, White Fairy-lantern, White Globelily",Perennial herb,0.7 - 2.6 ft tall,"['USDA Zone 8a: to -12.2 °C (10 °F)', 'USDA Zone 8b: to -9.4 °C (15 °F)', 'USDA Zone 9a: to -6.6 °C (20 °F)', 'USDA Zone 9b: to -3.8 °C (25 °F)', 'USDA Zone 10a: to -1.1 °C (30 °F)', 'USDA Zone 10b: to 1.7 °C (35 °F)']","11.4"" - 75.7""","0.14"" - 2.53""","Full Sun,  Part Shade,  Full Shade",Low,," 31.9"" - 56.2"""," 58.8"" - 79.5""",,"0.54"" - 26.01""","5"" - 6802""",,"White,  Green,  Red",,4148,https://inaturalist-open-data.s3.amazonaws.com/photos/3480/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Calochortus-albus-(White-Globe-Lily)?srchcr=sc61ab02a5119b0"
Festuca microstachys,"Botanical Names: Vulpia microstachys var. pauciflora,Vulpia microstachys,Vulpia microstachys var. ciliata,Vulpia microstachys var. microstachysCommon Names: Few-flowered Fescue",Grasses,2.5 ft tall,,"4.1"" - 127.8""","0.13"" - 3.90""",Full Sun,Very Low,," 22.0"" - 62.2"""," 47.4"" - 86.5""",,"0.14"" - 37.99""","-13"" - 10807""","Hummingbird Gardens, Bird Gardens, Bee Gardens",Brown,,320,https://inaturalist-open-data.s3.amazonaws.com/photos/28300613/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Festuca-microstachys-(Pacific-Fescue)?srchcr=sc61ab02a5119b0"
Oenothera elata ssp. hirsutissima,"Common Names: Hooker Evening Primrose, Hooker's Evening Primrose, Hooker's Evening-primrose, Hooker's Eveningprimrose",Perennial herb,,"['USDA Zone 5a: to -28.8 °C (-20 °F)', 'USDA Zone 5b: to -26.1 °C (-15 °F)', 'USDA Zone 6a: to -23.3 °C (-10 °F)', 'USDA Zone 6b: to -20.5 °C (-5 °F)', 'USDA Zone 7a: to -17.7 °C (0 °F)', 'USDA Zone 7b: to -14.9 °C (5 °F)', 'USDA Zone 8a: to -12.2 °C (10 °F)', 'USDA Zone 8b: to -9.4 °C (15 °F)']","4.8"" - 86.0""","0.15"" - 3.85""",Full Sun,Moderate - High,," 10.8"" - 56.3"""," 34.1"" - 84.0""",,"0.05"" - 34.80""","-22"" - 14090""",,Yellow,,4977,https://inaturalist-open-data.s3.amazonaws.com/photos/77296891/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Oenothera-elata-ssp.-hirsutissima-(Hairy-Evening-Primrose)?srchcr=sc61ab02a5119b0"
Acmispon glaber var. glaber,Botanical Names: Lotus scoparius var. scoparius,Perennial herb,1.6 - 7 ft tall,,"7.7"" - 69.6""","0.14"" - 2.77""",Full Sun,Very Low,," 40.9"" - 56.6"""," 58.1"" - 81.9""",,"0.38"" - 33.66""","-18"" - 5099""",,Yellow,,10583,https://inaturalist-open-data.s3.amazonaws.com/photos/5247/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Acmispon-glaber-var.-glaber-(Common-Deerweed)?srchcr=sc61ab02a5119b0"
Solanum douglasii,"Common Names: Green-spot Nightshade, Greenspot Nightshade",Perennial herb,3.5 - 7 ft tall,,"3.8"" - 59.0""","0.14"" - 2.12""","Full Sun,  Part Shade","Extremely Low, Very Low",," 32.4"" - 58.3"""," 58.4"" - 87.8""",,"0.01"" - 38.88""","-53"" - 6869""",Bird Gardens,"White,  Lavender",Moderately Easy,3339,https://inaturalist-open-data.s3.amazonaws.com/photos/39222/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Solanum-douglasii-(Douglas\'-Nightshade)?srchcr=sc61ab02a5119b0"
Pseudognaphalium beneolens,"Botanical Names: Gnaphalium canescens ssp. beneolens,Pseudognaphalium canescens ssp. beneolens,Pseudognaphalium bicolor,Gnaphalium bicolor,Gnaphalium canescens ssp. beneolens;Pseudognaphalium canescens ssp. beneolens",Perennial herb,4 ft tall,,"3.0"" - 112.9""","0.14"" - 3.81""",,,," 30.1"" - 58.3"""," 54.7"" - 87.7""",,"0.42"" - 37.81""","0"" - 7890""","Butterfly Gardens, Bee Gardens","Cream,  White",,380,https://inaturalist-open-data.s3.amazonaws.com/photos/14023525/small.jpeg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Pseudognaphalium-beneolens-(Fragrant-Everlasting)?srchcr=sc61ab02a5119b0"
Trifolium gracilentum,Common Names: Slender Clover,Annual herb,,,"5.8"" - 63.8""","0.14"" - 2.60""",Full Sun,Moderate - High,," 34.4"" - 57.4"""," 58.1"" - 80.9""",,"0.23"" - 31.09""","-32"" - 6188""",Bee Gardens,"Purple,  Pink",,118,https://inaturalist-open-data.s3.amazonaws.com/photos/3412724/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Trifolium-gracilentum-(Pinpoint-Clover)?srchcr=sc61ab02a5119b0"
Suaeda taxifolia,"Common Names: Seepweed, Woolly Sea-blite, Woolly Seablite",Shrub,5 ft tall,,"4.8"" - 23.6""","0.15"" - 0.67""",Full Sun,Low,," 48.1"" - 59.1"""," 60.2"" - 87.7""",,"0.94"" - 38.56""","-59"" - 1336""",,"Yellow,  Red",,546,https://static.inaturalist.org/photos/5791562/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Suaeda-taxifolia-(Seablite)?srchcr=sc61ab02a7440fe"
Solidago confinis,,Perennial herb,3.5 - 7 ft tall,,"2.2"" - 52.7""","0.15"" - 3.60""",Part Shade,Moderate - High,," 27.4"" - 61.2"""," 47.2"" - 90.7""",,"0.89"" - 49.06""","-188"" - 10709""","Groundcovers, Bee Gardens",Yellow,Moderately Easy,53,https://inaturalist-open-data.s3.amazonaws.com/photos/266544/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Solidago-confinis-(Southern-Goldenrod)?srchcr=sc61ab02a7440fe"
Sidalcea sparsifolia,Botanical Names: Sidalcea malviflora ssp. sparsifoliaCommon Names: Dwarf Checkerbloom,Perennial herb,0.7 - 2 ft tall,,"6.7"" - 34.0""","0.15"" - 2.83""","Full Sun,  Part Shade","Very Low, Low",," 33.5"" - 56.0"""," 55.2"" - 80.9""",,"0.87"" - 29.75""","37"" - 8798""","Groundcovers, Bird Gardens",Pink,,1232,https://inaturalist-open-data.s3.amazonaws.com/photos/7866545/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Sidalcea-sparsifolia-(Checkerbloom)?srchcr=sc61ab02a7440fe"
Rumex salicifolius,Common Names: Willow-leaved Dock,Perennial Herb,1 - 3 ft tall,,"3.6"" - 94.6""","0.14"" - 3.26""","Full Sun, Part Shade",Moderate - High,," 19.3"" - 59.1"""," 41.2"" - 88.3""",,"0.29"" - 40.53""","-253"" - 11332""",Butterfly Gardens,,Moderately Easy,2208,https://inaturalist-open-data.s3.amazonaws.com/photos/1937151/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Rumex-salicifolius-(Willow-Dock)?srchcr=sc61ab02a7440fe"
Juncus phaeocephalus,,Grasses,0.8 - 1.6 ft tall,,"5.0"" - 151.6""","0.15"" - 5.67""",Full Sun,Moderate - High,," 27.6"" - 55.9"""," 48.3"" - 80.5""",,"0.09"" - 32.46""","-253"" - 9125""",,Brown,,116,https://inaturalist-open-data.s3.amazonaws.com/photos/8091776/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Juncus-phaeocephalus-(Brownhead-Rush)?srchcr=sc61ab02a7440fe"
